clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Athlético-PR,Raul,Meia,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Renan Peixoto,Atacante,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Renan Viana,Atacante,Casa,COR,0.0,0.0,0,2.0,0.0
Athlético-PR,Habraão,Zagueiro,Casa,COR,0.0,0.0,0,3.0,0.0
Athlético-PR,Dudu,Meia,Casa,COR,0.0,0.0,1,0.82,-0.18
Athlético-PR,Batata,Lateral,Casa,COR,0.0,0.0,0,1.0,0.0
Athlético-PR,Viveros,Atacante,Casa,COR,10.2,10.2,1,9.3,2.3
Athlético-PR,Isaac,Atacante,Casa,COR,0.0,0.0,0,2.0,0.0
Athlético-PR,João Cruz,Meia,Casa,COR,0.0,0.0,0,5.0,0.0
Athlético-PR,Zapelli,Meia,Casa,COR,2.5,2.5,1,5.79,-0.21
Athlético-PR,Felipe Chiqueti,Meia,Casa,COR,0.0,0.0,0,1.0,0.0
Coritiba,Gabriel Leite,Goleiro,Fora,CRU,0.0,0.0,0,3.0,0.0
Coritiba,Willian Oliveira,Meia,Fora,CRU,7.9,7.9,1,6.86,1.86
Athlético-PR,Leozinho,Atacante,Casa,COR,0.0,0.0,0,3.0,0.0
Athlético-PR,Portilla,Meia,Casa,COR,-1.4,-1.4,1,3.6,-1.4
Coritiba,Pedro Rocha,Atacante,Fora,CRU,2.8,2.8,1,6.71,-0.29
Coritiba,Rodrigo Moledo,Zagueiro,Fora,CRU,0.0,0.0,0,3.0,0.0
Coritiba,Bruno Melo,Lateral,Fora,CRU,2.1,2.1,1,4.01,0.01
Athlético-PR,Carlos Eduardo,Goleiro,Casa,COR,0.0,0.0,0,1.0,0.0
Coritiba,Maicon,Zagueiro,Fora,CRU,1.7,1.7,1,4.69,-0.31
Athlético-PR,Alejandro García,Meia,Casa,COR,0.0,0.0,0,4.0,0.0
Athlético-PR,Matheus Soares,Goleiro,Casa,COR,0.0,0.0,0,1.0,0.0
Coritiba,Tinga,Lateral,Fora,CRU,5.0,5.0,1,5.84,0.84
Coritiba,Pedro Rangel,Goleiro,Fora,CRU,0.0,0.0,0,3.0,0.0
Athlético-PR,Marcão,Zagueiro,Casa,COR,0.0,0.0,0,3.0,0.0
Athlético-PR,Élan Ricardo,Meia,Casa,COR,0.0,0.0,0,3.0,0.0
Coritiba,Josué,Meia,Fora,CRU,-1.0,-1.0,1,4.56,-1.44
Coritiba,Sebastián Gómez,Meia,Fora,CRU,2.0,2.0,1,3.97,-0.03
Coritiba,Jacy,Zagueiro,Fora,CRU,2.0,2.0,1,3.16,0.16
Coritiba,Lavega,Atacante,Fora,CRU,1.5,1.5,1,2.98,-0.02
Coritiba,Fernando Seabra,Técnico,Fora,CRU,4.32,4.32,1,4.79,0.79
Coritiba,Lucas Ronier,Atacante,Fora,CRU,5.0,5.0,1,5.03,1.03
Coritiba,Pedro Morisco,Goleiro,Fora,CRU,11.7,11.7,1,9.01,3.01
Coritiba,Wallisson,Meia,Fora,CRU,4.2,4.2,1,3.93,0.93
Coritiba,Fernando Sobral,Meia,Fora,CRU,0.0,0.0,0,5.0,0.0
Coritiba,Tiago Cóser,Zagueiro,Fora,CRU,1.5,1.5,1,2.16,0.16
Coritiba,Felipe Guimarães,Lateral,Fora,CRU,0.0,0.0,0,1.0,0.0
Coritiba,João Almeida,Lateral,Fora,CRU,0.0,0.0,0,1.0,0.0
Coritiba,Ruan Assis,Atacante,Fora,CRU,0.0,0.0,0,1.0,0.0
