clube_nome_completo,apelido,posicao_nome,mando,adversario_nome,pontos_num,media_num,jogos_num,preco_num,variacao_num
Internacional,Victor Gabriel,Zagueiro,Casa,PAL,4.7,3.85,2,5.0,0.68
Internacional,Bruno Gomes,Meia,Casa,PAL,3.4,4.25,2,6.69,-0.01
Internacional,Vitinho,Atacante,Casa,PAL,3.0,2.45,2,6.37,-0.02
Internacional,Juninho,Zagueiro,Casa,PAL,0.0,0.0,0,5.0,0.0
Internacional,Aguirre,Lateral,Casa,PAL,0.8,1.75,2,4.57,-0.47
Internacional,Thiago Maia,Meia,Casa,PAL,1.5,1.5,1,5.62,-0.38
Internacional,Paulo Pezzolano,Técnico,Casa,PAL,4.28,3.27,2,6.11,0.41
Internacional,Carbonero,Atacante,Casa,PAL,10.4,5.45,2,9.41,1.87
Internacional,Alan Rodríguez,Meia,Casa,PAL,0.0,0.0,0,6.0,0.0
Palmeiras,Marcelo Lomba,Goleiro,Fora,INT,0.0,0.0,0,4.0,0.0
Internacional,Bruno Tabata,Meia,Casa,PAL,0.0,0.5,1,4.27,0.0
Palmeiras,Marlon Freitas,Meia,Fora,INT,1.2,1.3,2,7.16,-0.69
Palmeiras,Gustavo Gómez,Zagueiro,Fora,INT,8.5,5.2,2,12.15,0.85
Grêmio,Weverton,Goleiro,Fora,SAO,-1.7,0.75,2,6.9,-1.59
Palmeiras,Murilo,Zagueiro,Fora,INT,16.0,7.55,2,9.1,3.69
Internacional,Clayton Sampaio,Zagueiro,Casa,PAL,0.0,0.0,0,3.0,0.0
Vasco,David,Atacante,Casa,BAH,1.2,1.2,1,4.67,-0.33
Internacional,Anthoni,Goleiro,Casa,PAL,0.0,0.0,0,3.0,0.0
Palmeiras,Piquerez,Lateral,Fora,INT,12.8,9.05,2,12.16,2.12
Palmeiras,Maurício,Meia,Fora,INT,11.7,5.45,2,8.67,2.4
Palmeiras,Abel Ferreira,Técnico,Fora,INT,10.45,7.05,2,12.48,1.38
Palmeiras,Bruno Fuchs,Zagueiro,Fora,INT,0.0,0.0,0,8.0,0.0
Palmeiras,Khellven,Lateral,Fora,INT,2.6,1.4,2,5.77,-0.03
Palmeiras,Jefté,Lateral,Fora,INT,0.0,0.0,0,4.0,0.0
Palmeiras,Paulinho,Atacante,Fora,INT,0.0,0.0,0,15.0,0.0
Palmeiras,Carlos Miguel,Goleiro,Fora,INT,3.4,1.35,2,7.16,0.04
Internacional,Gustavo Prado,Meia,Casa,PAL,0.0,0.0,0,4.0,0.0
Palmeiras,Lucas Evangelista,Meia,Fora,INT,0.0,0.0,0,7.0,0.0
Palmeiras,Felipe Anderson,Meia,Fora,INT,0.0,0.0,0,9.0,0.0
Palmeiras,Bruno Rodrigues,Atacante,Fora,INT,0.0,0.0,1,3.39,-0.61
Palmeiras,Giay,Lateral,Fora,INT,0.0,0.5,1,5.9,0.0
Palmeiras,Flaco López,Atacante,Fora,INT,4.9,10.5,2,17.43,-1.31
Palmeiras,Ramón Sosa,Atacante,Fora,INT,9.7,5.7,2,8.13,1.81
Palmeiras,Allan,Meia,Fora,INT,12.2,7.05,2,15.31,1.55
Palmeiras,Luighi,Atacante,Fora,INT,0.0,0.0,2,2.86,-0.41
Mirassol,Yuri Lara,Meia,Casa,CRU,4.4,4.95,2,6.36,0.34
Mirassol,Alex Muralha,Goleiro,Casa,CRU,0.0,0.0,0,3.0,0.0
Palmeiras,Emiliano Martínez,Meia,Fora,INT,0.0,0.0,0,5.0,0.0
Mirassol,Thomazella,Goleiro,Casa,CRU,0.0,0.0,0,2.0,0.0
Mirassol,João Victor,Zagueiro,Casa,CRU,4.4,2.95,2,5.92,0.48
Mirassol,Alesson,Atacante,Casa,CRU,4.5,7.1,2,9.03,-0.1
Mirassol,Shaylon,Meia,Casa,CRU,0.0,0.0,0,5.0,0.0
Palmeiras,Benedetti,Zagueiro,Fora,INT,0.0,0.0,0,3.0,0.0
Palmeiras,Larson,Meia,Fora,INT,0.0,0.0,1,2.54,-0.46
Mirassol,Negueba,Atacante,Casa,CRU,5.5,5.15,2,7.17,0.58
Mirassol,Carlos Eduardo,Atacante,Casa,CRU,0.8,0.8,1,4.52,-0.48
Mirassol,Daniel Borges,Lateral,Casa,CRU,0.0,0.0,0,4.0,0.0
Mirassol,André Luis,Atacante,Casa,CRU,0.0,0.0,0,5.0,0.0
Mirassol,Rafael Guanaes,Técnico,Casa,CRU,5.45,5.13,2,7.16,0.57
Mirassol,Neto Moura,Meia,Casa,CRU,0.0,0.5,1,4.27,0.0
São Paulo,Lucas Ramon,Lateral,Casa,GRE,0.0,0.0,0,7.0,0.0
Mirassol,Nathan Fogaça,Atacante,Casa,CRU,8.2,3.65,2,4.83,1.87
Mirassol,Luiz Otávio,Zagueiro,Casa,CRU,0.0,1.5,1,3.8,0.0
Santos,Mayke,Lateral,Fora,CAP,1.2,1.2,1,4.67,-0.33
Mirassol,Aldo Filho,Meia,Casa,CRU,3.7,1.55,2,4.41,0.53
Santos,João Schmidt,Meia,Fora,CAP,3.3,3.25,2,6.11,0.08
Santos,Gabriel,Atacante,Fora,CAP,2.1,2.1,1,8.38,-0.62
Santos,João Basso,Zagueiro,Fora,CAP,2.3,2.3,1,4.22,0.22
Santos,Zé Rafael,Meia,Fora,CAP,10.1,9.0,2,10.04,1.54
Santos,Igor Vinícius,Lateral,Fora,CAP,0.0,5.5,1,7.66,0.0
Mirassol,Edson Carioca,Atacante,Casa,CRU,0.0,0.0,0,5.0,0.0
Santos,Juan Vojvoda,Técnico,Fora,CAP,3.09,4.15,2,8.06,-0.31
Santos,Zé Ivaldo,Zagueiro,Fora,CAP,0.0,0.0,0,6.0,0.0
Santos,Luan Peres,Zagueiro,Fora,CAP,-0.1,0.8,2,4.75,-0.76
Vasco,Daniel Fuzato,Goleiro,Casa,BAH,0.0,0.0,0,2.0,0.0
Mirassol,Renato Marques,Atacante,Casa,CRU,0.0,2.1,1,4.01,0.0
Santos,Tiquinho Soares,Atacante,Fora,CAP,0.0,0.0,0,7.0,0.0
Santos,Rincón,Meia,Fora,CAP,0.0,0.0,0,4.0,0.0
Santos,Adonis Frías,Zagueiro,Fora,CAP,-0.1,-0.1,1,5.04,-0.96
Santos,Willian Arão,Meia,Fora,CAP,0.0,0.0,0,7.0,0.0
Santos,Vinicius Lira,Lateral,Fora,CAP,0.0,3.5,1,3.68,0.0
Santos,Thaciano,Meia,Fora,CAP,0.0,0.0,0,6.0,0.0
Santos,Rollheiser,Meia,Fora,CAP,0.0,1.25,2,7.16,-1.08
Santos,Lautaro Díaz,Atacante,Fora,CAP,0.5,3.15,2,6.1,-0.84
Santos,Gabriel Bontempo,Meia,Fora,CAP,0.0,0.0,2,3.57,-0.52
Santos,Robinho Jr.,Atacante,Fora,CAP,0.0,0.0,1,3.27,0.0
Santos,Souza,Lateral,Fora,CAP,0.0,0.0,0,8.0,0.0
Santos,Alexis Duarte,Zagueiro,Fora,CAP,0.0,-1.3,1,3.64,0.0
São Paulo,Cédric Soares,Lateral,Casa,GRE,0.0,2.3,1,5.72,0.0
Santos,Escobar,Lateral,Fora,CAP,5.2,5.2,1,6.97,0.97
São Paulo,Danielzinho,Meia,Casa,GRE,6.2,6.9,2,8.89,0.5
São Paulo,Alan Franco,Zagueiro,Casa,GRE,-1.6,0.8,2,5.49,-1.36
São Paulo,Lucas Moura,Meia,Casa,GRE,6.7,3.2,2,10.31,0.6
São Paulo,Calleri,Atacante,Casa,GRE,11.0,5.7,2,13.11,1.52
São Paulo,Alisson,Meia,Casa,GRE,0.0,0.0,0,6.0,0.0
São Paulo,Hernán Crespo,Técnico,Casa,GRE,4.97,6.28,2,8.55,0.16
São Paulo,Arboleda,Zagueiro,Casa,GRE,3.6,5.55,2,10.29,-0.52
São Paulo,Rafael Tolói,Zagueiro,Casa,GRE,0.0,0.0,0,5.0,0.0
São Paulo,Sabino,Zagueiro,Casa,GRE,1.4,3.3,2,5.46,-0.45
São Paulo,Bobadilla,Meia,Casa,GRE,5.1,5.65,2,10.33,-0.03
São Paulo,Coronel,Goleiro,Casa,GRE,0.0,0.0,0,5.0,0.0
São Paulo,Wendell,Lateral,Casa,GRE,0.0,0.0,0,7.0,0.0
São Paulo,Ryan Francisco,Atacante,Casa,GRE,0.0,0.0,0,5.0,0.0
São Paulo,Marcos Antônio,Meia,Casa,GRE,0.0,3.75,2,7.89,-1.29
São Paulo,Young,Goleiro,Casa,GRE,0.0,0.0,0,3.0,0.0
São Paulo,Maik,Lateral,Casa,GRE,2.9,2.8,2,5.14,0.1
São Paulo,Tapia,Atacante,Casa,GRE,2.7,2.1,2,5.46,0.02
São Paulo,Ferreira,Atacante,Casa,GRE,0.0,0.0,0,8.0,0.0
Chapecoense,Rafael Santos,Goleiro,Casa,CFC,0.0,0.0,0,3.0,0.0
São Paulo,Ferraresi,Zagueiro,Casa,GRE,-0.3,-0.3,1,6.67,-1.33
São Paulo,André Silva,Atacante,Casa,GRE,0.0,0.0,0,8.0,0.0
São Paulo,Pablo Maia,Meia,Casa,GRE,5.7,2.85,2,6.56,0.83
Vasco,Victor Luis,Lateral,Casa,BAH,0.0,0.0,0,4.0,0.0
Vasco,Fernando Diniz,Técnico,Casa,BAH,5.73,4.86,2,8.43,0.48
Vasco,Paulo Henrique,Lateral,Casa,BAH,0.0,0.0,0,10.0,0.0
Vasco,Puma Rodríguez,Lateral,Casa,BAH,8.9,7.65,2,7.85,1.51
Bragantino,Rodriguinho,Meia,Fora,COR,0.0,0.0,0,4.0,0.0
Vasco,Carlos Cuesta,Zagueiro,Casa,BAH,0.9,-0.1,2,6.36,-0.62
Vasco,Jair,Meia,Casa,BAH,0.0,0.0,0,6.0,0.0
Santos,Diógenes,Goleiro,Fora,CAP,0.0,0.0,0,2.0,0.0
Vasco,Lucas Freitas,Zagueiro,Casa,BAH,0.0,0.0,0,4.0,0.0
São Paulo,Lucca,Atacante,Casa,GRE,0.0,0.0,0,3.0,0.0
Vasco,Lucas Piton,Lateral,Casa,BAH,4.3,2.0,2,7.52,0.26
Internacional,Raykkonen,Atacante,Casa,PAL,0.0,0.5,1,2.63,0.0
Vasco,Robert Renan,Zagueiro,Casa,BAH,0.9,1.4,2,6.51,-0.7
Vasco,Andrés Gómez,Atacante,Casa,BAH,13.1,9.55,2,11.73,2.26
Vasco,Nuno Moreira,Meia,Casa,BAH,2.9,1.8,2,6.71,-0.08
Vasco,Barros,Meia,Casa,BAH,5.5,7.25,2,7.67,0.42
Vasco,Tchê Tchê,Meia,Casa,BAH,0.0,0.0,0,6.0,0.0
Vasco,Mateus Carvalho,Meia,Casa,BAH,0.0,0.0,0,4.0,0.0
Vasco,Adson,Meia,Casa,BAH,0.0,0.0,0,6.0,0.0
Vitória,Neris,Zagueiro,Casa,FLA,1.5,1.5,1,3.08,0.08
Vitória,Caíque,Meia,Casa,FLA,2.2,1.3,2,5.0,-0.05
Vasco,Vegetti,Atacante,Casa,BAH,0.0,0.0,0,11.0,0.0
Vasco,Hugo Moura,Meia,Casa,BAH,0.0,0.0,1,3.39,-0.61
Vitória,Baralhas,Meia,Casa,FLA,2.7,6.8,2,8.17,-0.56
Vitória,Ramon,Lateral,Casa,FLA,7.0,5.85,2,6.84,1.1
Vitória,Jair Ventura,Técnico,Casa,FLA,3.41,6.33,2,7.18,-0.16
Vitória,Osvaldo,Atacante,Casa,FLA,0.0,0.8,1,4.37,0.0
Vitória,Renato Kayzer,Atacante,Casa,FLA,0.0,10.4,1,8.56,0.0
Vitória,Cantalapiedra,Meia,Casa,FLA,4.5,2.5,2,6.37,0.47
Vitória,Matheuzinho,Meia,Casa,FLA,0.0,2.0,2,5.44,-0.87
Vasco,Matheus França,Meia,Casa,BAH,0.0,0.8,1,3.55,0.0
Vitória,Mateus Silva,Lateral,Casa,FLA,0.0,4.85,2,4.95,-0.91
