rodada;atleta_id;nome;time;adversario;mandante;posicao_id;pontos;CA;DS;FC;FF;I;FS;SG;G;FD;PS;DE;GS;PC;V;FT;A;GC;CV
1;113113;Benavídez;CAP;INT;False;2;9.2;;2.0;;1.0;1.0;1.0;1.0;;;;;;;;;;;
1;113359;Pablo Maia;SAO;FLA;True;4;0.0;;;;;;;;;;;;;;;;;;
1;113397;Cristian Olivera;BAH;COR;False;5;2.9;;1.0;1.0;;;1.0;;;1.0;;;;;;;;;
1;114802;Vitor Roque;PAL;CAM;False;5;7.6;1.0;;2.0;;;;;1.0;1.0;;;;;;;;;
1;115025;Miguelito;SAN;CHA;False;4;3.6;;1.0;;2.0;;1.0;;;;;;;;;;;;
1;115100;Matheus França;VAS;MIR;False;4;0.8;;;;1.0;;;;;;;;;;;;;;
1;115479;Paulo Pezzolano;INT;CAP;True;6;2.26;;;;;;;;;;;;;;;;;;
1;115914;Evertton Araújo;FLA;SAO;False;4;2.1;;;;2.0;;1.0;;;;;;;;;;;;
1;116034;Victor Hugo;CAM;PAL;True;4;9.5;;1.0;;;;;;1.0;;;;;;;;;;
1;116461;Jamerson;VIT;REM;True;2;6.5;;1.0;;;;;1.0;;;;;;;;;;;
1;116706;Andrés Gómez;VAS;MIR;False;5;6.0;;2.0;2.0;1.0;1.0;1.0;;;2.0;;;;;;;;;
1;117330;Robert Renan;VAS;MIR;False;3;1.9;;1.0;2.0;;;2.0;;;;;;;;;;;;
1;117403;Renato Marques;MIR;VAS;True;5;2.1;;;3.0;1.0;;2.0;;;1.0;;;;;;;;;
1;117632;Garro;COR;BAH;True;4;10.0;;1.0;;1.0;;3.0;;;1.0;;;;;;;1.0;;
1;117910;Breno Bidon;COR;BAH;True;4;14.7;1.0;2.0;1.0;;;4.0;;1.0;;;;;;;1.0;;;
1;117930;Lavega;CFC;RBB;True;5;1.5;;;1.0;1.0;;2.0;;;;;;;;;;;;
1;117965;Martín Anselmi;BOT;CRU;True;6;11.04;;;;;;;;;;;;;;1.0;;;;
1;118774;Alexsander;CAM;PAL;True;4;1.7;1.0;1.0;1.0;;;3.0;;;;;;;;;;;;
1;118775;Lautaro Díaz;SAN;CHA;False;5;5.8;;1.0;1.0;2.0;;;;;;;;;;;1.0;;;
1;120433;Léo Derik;CAP;INT;False;2;10.0;;3.0;;;;1.0;1.0;;;;;;;;;;;
1;121792;André;GRE;FLU;False;5;-1.0;1.0;;;;;;;;;;;;;;;;;
1;122394;Gustavinho;RBB;CFC;False;4;7.5;;2.0;3.0;1.0;;2.0;;;3.0;;;;;;;;;
1;122441;Kayky Almeida;REM;VIT;False;3;0.6;;1.0;3.0;;;;;;;;;;;;;;;
1;122485;Barros;VAS;MIR;False;4;9.0;;4.0;;;;6.0;;;;;;;;;;;;
1;122487;GB;VAS;MIR;False;5;0.0;;;;;;;;;;;;;;;;;;
1;122781;Caballero;SAN;CHA;False;5;1.6;;;;2.0;;;;;;;;;;;;;;
1;123625;Ítalo;CHA;SAN;True;5;2.9;;1.0;;;1.0;1.0;;;;1.0;;;;;;;;
1;123648;Lucas Ronier;CFC;RBB;True;5;5.0;;3.0;;;;1.0;;;;;;;;;;;;
1;123869;Aguirre;CAP;INT;False;3;6.7;;1.0;1.0;;;1.0;1.0;;;;;;;;;;;
1;124239;Henry Mosquera;RBB;CFC;False;5;2.9;;;1.0;1.0;;;;;2.0;;;;;;;;;
1;124481;Mateo Ponte;BOT;CRU;True;2;6.2;;1.0;1.0;;;;1.0;;;;;;;;;;;
1;124526;Giay;PAL;CAM;False;2;0.5;;;;;;1.0;;;;;;;;;;;;
1;124757;Nathan Fernandes;BOT;CRU;True;5;5.5;;;;;;1.0;;;;;;;;;;1.0;;
1;124912;Jonathan Jesus;CRU;BOT;False;3;0.0;;;;;;;;;;;;;;;;;;
1;125746;Dudu;CAP;INT;False;4;0.0;;;;;;;;;;;;;;;;;;
1;125803;Pedro Morisco;CFC;RBB;True;1;11.7;;;;;;2.0;;;;;9.0;1.0;;;;;;
1;125926;Zapelli;CAP;INT;False;4;2.5;;1.0;;;;2.0;;;;;;;;;;;;
1;126120;Marcelinho;RBB;CFC;False;4;6.3;;;1.0;2.0;;;;;;;;;;;;1.0;;
1;126182;Paulinho;INT;CAP;True;4;0.2;1.0;1.0;1.0;;;;;;;;;;;;;;;
1;126471;Barreal;SAN;CHA;False;4;12.6;;2.0;;2.0;;;;1.0;;;;;;;;;;
1;126977;Fernando Seabra;CFC;RBB;True;6;4.32;;;;;;;;;;;;;;;;;;
1;128433;Johan Rojas;VAS;MIR;False;4;1.7;;;1.0;1.0;;;;;1.0;;;;;;;;;
1;130414;Robert;CHA;SAN;True;4;3.0;;2.0;;;;;;;;;;;;;;;;
1;130608;Riquelme Fillipi;PAL;CAM;False;5;-0.3;;;1.0;;;;;;;;;;;;;;;
1;130612;Luighi;PAL;CAM;False;5;0.0;;;;;;;;;;;;;;;;;;
1;130650;Bernal;FLU;GRE;True;4;-0.3;;;1.0;;;;;;;;;;;;;;;
1;130843;Arthur Dias;CAP;INT;False;3;8.0;;2.0;;;;;1.0;;;;;;;;;;;
1;130906;Riquelme;CAP;INT;False;4;-0.3;;;1.0;;;;;;;;;;;;;;;
1;131832;Portilla;CAP;INT;False;4;-1.4;1.0;;3.0;;;1.0;;;;;;;;;;;;
1;132071;Serna;FLU;GRE;True;5;0.5;;;1.0;1.0;;;;;;;;;;;;;;
1;132264;Arroyo;CRU;BOT;False;5;1.7;;;;;;1.0;;;1.0;;;;;;;;;
1;132274;Ignacio Sosa;RBB;CFC;False;4;0.4;1.0;1.0;2.0;;;1.0;;;;;;;;;;;;
1;132553;Jemmes;FLU;GRE;True;3;5.5;;3.0;;;;2.0;;;;;;;;;;;;
1;132580;Vinicinho;RBB;CFC;False;5;0.0;;;;;;;;;;;;;;;;;;
1;133543;Gui Negão;COR;BAH;True;5;0.0;;;;;;;;;;;;;;;;;;
